"ID番号","_02"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:29:20"
"時間範囲(秒)","0.00 - 5.00"
"総合COP 総軌跡長（cm）",232.54
"総合COP 速度（cm/秒）", 72.67
"総合COP 矩形面積（c ㎡）",5054.11
"総合COP 左右幅（cm）", 22.89
"総合COP 前後幅（cm）",220.80
"総合COP Y 方向軌跡長（cm）", 65.67
"総合COP Y 方向単位軌跡長（cm/秒）", 20.52
"総合COP X 方向軌跡長（cm）",220.82
"総合COP X 方向単位軌跡長（cm/秒）", 69.01
"時間(秒)","総合COP X 座標（cm）","総合COP Y 座標（cm）","総合COP 速度（cm/秒）","総合COP X 方向単位軌跡長（cm/秒）","総合COP Y 方向単位軌跡長（cm/秒）"
  0.00, 18.20, 36.16,"-.--","-.--","-.--"
  0.01, 18.39, 36.19, 19.24, 19.00,  3.00
  0.02, 18.53, 36.24, 14.87, 14.00,  5.00
  0.03, 18.62, 36.27,  9.49,  9.00,  3.00
  0.04, 18.84, 36.22, 22.56, 22.00,  5.00
  0.05, 19.05, 36.25, 21.21, 21.00,  3.00
  0.06, 19.23, 36.26, 18.03, 18.00,  1.00
  0.07, 19.44, 36.27, 21.02, 21.00,  1.00
  0.08, 19.58, 36.31, 14.56, 14.00,  4.00
  0.09, 19.88, 36.37, 30.59, 30.00,  6.00
  0.10, 20.39, 36.53, 53.45, 51.00, 16.00
  0.11, 20.71, 36.64, 33.84, 32.00, 11.00
  0.12, 21.03, 36.70, 32.56, 32.00,  6.00
  0.13, 21.57, 36.81, 55.11, 54.00, 11.00
  0.14, 21.88, 36.84, 31.14, 31.00,  3.00
  0.15, 22.06, 36.89, 18.68, 18.00,  5.00
  0.16, 22.28, 36.92, 22.20, 22.00,  3.00
  0.17, 22.52, 36.99, 25.00, 24.00,  7.00
  0.18, 22.66, 37.06, 15.65, 14.00,  7.00
  0.19, 22.85, 37.11, 19.65, 19.00,  5.00
  0.20, 22.99, 37.15, 14.56, 14.00,  4.00
  0.21, 23.03, 37.21,  7.21,  4.00,  6.00
  0.22, 23.17, 37.26, 14.87, 14.00,  5.00
  0.23, 23.29, 37.31, 13.00, 12.00,  5.00
  0.24, 23.47, 37.38, 19.31, 18.00,  7.00
  0.25, 23.57, 37.42, 10.77, 10.00,  4.00
  0.26, 23.66, 37.46,  9.85,  9.00,  4.00
  0.27, 23.79, 37.51, 13.93, 13.00,  5.00
  0.28, 23.96, 37.52, 17.03, 17.00,  1.00
  0.29, 24.09, 37.54, 13.15, 13.00,  2.00
  0.30, 24.31, 37.57, 22.20, 22.00,  3.00
  0.31, 24.51, 37.59, 20.10, 20.00,  2.00
  0.32, 24.75, 37.58, 24.02, 24.00,  1.00
  0.33, 24.88, 37.60, 13.15, 13.00,  2.00
  0.34, 25.01, 37.63, 13.34, 13.00,  3.00
  0.35, 25.20, 37.67, 19.42, 19.00,  4.00
  0.36, 25.24, 37.70,  5.00,  4.00,  3.00
  0.37, 25.39, 37.75, 15.81, 15.00,  5.00
  0.38, 25.61, 37.84, 23.77, 22.00,  9.00
  0.39, 25.79, 37.90, 18.97, 18.00,  6.00
  0.40, 26.05, 38.01, 28.23, 26.00, 11.00
  0.41, 26.35, 38.08, 30.81, 30.00,  7.00
  0.42, 26.64, 38.19, 31.02, 29.00, 11.00
  0.43, 26.91, 38.28, 28.46, 27.00,  9.00
  0.44, 27.34, 38.41, 44.92, 43.00, 13.00
  0.45, 27.62, 38.49, 29.12, 28.00,  8.00
  0.46, 27.98, 38.63, 38.63, 36.00, 14.00
  0.47, 28.34, 38.72, 37.11, 36.00,  9.00
  0.48, 28.66, 38.81, 33.24, 32.00,  9.00
  0.49, 29.00, 38.91, 35.44, 34.00, 10.00
  0.50, 29.33, 39.00, 34.21, 33.00,  9.00
  0.51, 29.63, 39.08, 31.05, 30.00,  8.00
  0.52, 29.92, 39.17, 30.36, 29.00,  9.00
  0.53, 30.23, 39.22, 31.40, 31.00,  5.00
  0.54, 30.53, 39.27, 30.41, 30.00,  5.00
  0.55, 30.79, 39.28, 26.02, 26.00,  1.00
  0.56, 31.01, 39.31, 22.20, 22.00,  3.00
  0.57, 31.13, 39.29, 12.17, 12.00,  2.00
  0.58, 31.32, 39.28, 19.03, 19.00,  1.00
  0.59, 31.49, 39.26, 17.12, 17.00,  2.00
  0.60, 31.65, 39.26, 16.00, 16.00,  0.00
  0.61, 31.87, 39.23, 22.20, 22.00,  3.00
  0.62, 32.00, 39.20, 13.34, 13.00,  3.00
  0.63, 32.19, 39.18, 19.10, 19.00,  2.00
  0.64, 32.32, 39.17, 13.04, 13.00,  1.00
  0.65, 32.42, 39.15, 10.20, 10.00,  2.00
  0.66, 32.64, 39.09, 22.80, 22.00,  6.00
  0.67, 32.79, 39.02, 16.55, 15.00,  7.00
  0.68, 32.98, 38.97, 19.65, 19.00,  5.00
  0.69, 33.12, 38.91, 15.23, 14.00,  6.00
  0.70, 33.23, 38.87, 11.70, 11.00,  4.00
  0.71, 33.38, 38.79, 17.00, 15.00,  8.00
  0.72, 33.51, 38.75, 13.60, 13.00,  4.00
  0.73, 33.64, 38.68, 14.76, 13.00,  7.00
  0.74, 33.76, 38.63, 13.00, 12.00,  5.00
  0.75, 34.02, 38.54, 27.51, 26.00,  9.00
  0.76, 41.38, 36.58,761.65,736.00,196.00
  0.77, 46.54, 35.28,532.12,516.00,130.00
  0.78, 48.51, 34.78,203.25,197.00, 50.00
  0.79, 50.41, 34.30,195.97,190.00, 48.00
  0.80, 52.49, 33.78,214.40,208.00, 52.00
  0.81, 54.47, 33.24,205.23,198.00, 54.00
  0.82, 57.00, 32.57,261.72,253.00, 67.00
  0.83, 59.20, 32.02,226.77,220.00, 55.00
  0.84, 62.03, 31.32,291.53,283.00, 70.00
  0.85, 65.14, 30.53,320.88,311.00, 79.00
  0.86, 68.42, 29.73,337.62,328.00, 80.00
  0.87, 71.82, 28.90,349.98,340.00, 83.00
  0.88, 74.55, 28.23,281.10,273.00, 67.00
  0.89, 76.52, 27.77,202.30,197.00, 46.00
  0.90, 77.69, 27.48,120.54,117.00, 29.00
  0.91, 78.21, 27.40, 52.61, 52.00,  8.00
  0.92, 78.66, 27.31, 45.89, 45.00,  9.00
  0.93, 79.14, 27.24, 48.51, 48.00,  7.00
  0.94, 79.59, 27.13, 46.32, 45.00, 11.00
  0.95, 80.01, 27.05, 42.76, 42.00,  8.00
  0.96, 80.56, 26.95, 55.90, 55.00, 10.00
  0.97, 81.04, 26.85, 49.03, 48.00, 10.00
  0.98, 81.44, 26.76, 41.00, 40.00,  9.00
  0.99, 81.83, 26.66, 40.26, 39.00, 10.00
  1.00, 82.25, 26.58, 42.76, 42.00,  8.00
  1.01, 82.59, 26.50, 34.93, 34.00,  8.00
  1.02, 82.87, 26.42, 29.12, 28.00,  8.00
  1.03, 83.25, 26.37, 38.33, 38.00,  5.00
  1.04, 83.47, 26.36, 22.02, 22.00,  1.00
  1.05, 83.74, 26.29, 27.89, 27.00,  7.00
  1.06, 83.88, 26.26, 14.32, 14.00,  3.00
  1.07, 84.13, 26.24, 25.08, 25.00,  2.00
  1.08, 84.22, 26.20,  9.85,  9.00,  4.00
  1.09, 84.37, 26.21, 15.03, 15.00,  1.00
  1.10, 84.58, 26.18, 21.21, 21.00,  3.00
  1.11, 84.67, 26.15,  9.49,  9.00,  3.00
  1.12, 84.76, 26.13,  9.22,  9.00,  2.00
  1.13, 84.87, 26.14, 11.05, 11.00,  1.00
  1.14, 85.02, 26.14, 15.00, 15.00,  0.00
  1.15, 85.16, 26.19, 14.87, 14.00,  5.00
  1.16, 85.30, 26.21, 14.14, 14.00,  2.00
  1.17, 85.41, 26.31, 14.87, 11.00, 10.00
  1.18, 85.52, 26.32, 11.05, 11.00,  1.00
  1.19, 85.65, 26.37, 13.93, 13.00,  5.00
  1.20, 85.77, 26.45, 14.42, 12.00,  8.00
  1.21, 85.98, 26.61, 26.40, 21.00, 16.00
  1.22, 86.02, 26.63,  4.47,  4.00,  2.00
  1.23, 86.18, 26.73, 18.87, 16.00, 10.00
  1.24, 86.28, 26.83, 14.14, 10.00, 10.00
  1.25, 86.34, 26.86,  6.71,  6.00,  3.00
  1.26, 86.45, 26.94, 13.60, 11.00,  8.00
  1.27, 86.61, 27.03, 18.36, 16.00,  9.00
  1.28, 86.74, 27.14, 17.03, 13.00, 11.00
  1.29, 86.80, 27.18,  7.21,  6.00,  4.00
  1.30, 86.95, 27.26, 17.00, 15.00,  8.00
  1.31, 87.03, 27.32, 10.00,  8.00,  6.00
  1.32, 87.16, 27.41, 15.81, 13.00,  9.00
  1.33, 87.28, 27.43, 12.17, 12.00,  2.00
