"ID番号","_03"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:38:04"
歩行方向,正位置
１歩目の順列,左足
"歩行スピード", 76.25
"歩行ケーデンス", 91.95
"右足の歩数",2
"左足の歩数",3
"右杖の数",0
"左杖の数",0
"算出・形状選択フラグ",0
"歩杖番号","着床時間(秒)","離床時間(秒)","着床座標X（cm）","着床座標Y（cm）","離床座標X（cm）","離床座標Y（cm）","中心座標X（cm）","中心座標Y（cm）","接地スイッチ数","左右歩フラグ","算出・形状選択フラグ","Ｙスイッチの幅","ToY","つま先開き角度（deg）","杖着床時間(秒)","杖離床時間(秒)","杖着床座標X（cm）","杖着床座標Y（cm）","杖離床座標X（cm）","杖離床座標Y（cm）","杖中心座標X（cm）","杖中心座標Y（cm）","杖接地スイッチ数","左右杖フラグ","基準足","反対足","杖算出・形状選択フラグ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 0.000, 0.940,16.500,47.000,36.500,45.500,26.000,46.250,123,0,0,1942,5640,-1.616,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 1.390, 2.160,113.500,47.500,134.000,47.000,123.500,47.250,131,0,0,14359,5768, 3.035,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 2.610, 3.370,215.500,48.500,234.500,49.500,225.500,49.000,131,0,0,27415,6024, 6.455,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 0.760, 1.570,64.500,32.500,82.500,33.500,74.000,33.000,131,1,0,7960,3464,-0.461,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 1.990, 2.770,166.000,33.500,186.000,34.000,176.000,33.750,120,1,0,21016,3591, 2.414,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
