"ID番号","_9898"
"氏名",""
"性別","男"
"身長(cm)","0"
"体重(kg)","0"
"姿勢",""
"病名",""
"メモ",""
"測定者",""
"眼の状態","開眼"
"測定時間(秒)","1.34"
"周期(Hz)","100"
"測定日時","2023/06/26 19:07:41"
"時間(秒)","合成圧中心:左右X軸(cm)","合成圧中心:前後Y軸(cm)","合成圧中心軌跡長(cm)"
0.00,8.6,-7.7,
0.01,8.4,-7.6,0.2
0.02,8.4,-7.6,0.2
0.03,8.3,-7.6,0.3
0.04,8.3,-7.6,0.4
0.05,7.7,-7.3,1
0.06,7.2,-7.1,1.5
0.07,6.7,-7.0,2.1
0.08,6.2,-6.8,2.6
0.09,5.7,-6.6,3.1
0.10,5.3,-6.5,3.5
0.11,5.0,-6.4,3.8
0.12,4.7,-6.3,4.1
0.13,4.4,-6.3,4.5
0.14,4.0,-6.3,4.9
0.15,3.8,-6.2,5
0.16,3.6,-6.2,5.3
0.17,3.2,-6.2,5.6
0.18,2.8,-6.1,6.1
0.19,2.4,-6.1,6.5
0.20,2.0,-6.1,6.9
0.21,1.4,-6.0,7.4
0.22,0.9,-5.9,8
0.23,0.5,-5.9,8.4
0.24,0.0,-5.9,8.8
0.25,-0.4,-5.9,9.3
0.26,-0.9,-5.9,9.8
0.27,-1.2,-5.9,10
0.28,-1.4,-5.9,10.3
0.29,-1.7,-5.9,10.5
0.30,-1.9,-5.9,10.8
0.31,-2.0,-5.9,10.9
0.32,-2.1,-5.8,11
0.33,-2.1,-5.8,11
0.34,-2.1,-5.8,11
0.35,-2.0,-5.8,11.1
0.36,-1.8,-5.8,11.3
0.37,-1.8,-5.8,11.4
0.38,-1.7,-5.9,11.5
0.39,-1.4,-5.9,11.7
0.40,-1.2,-5.9,12
0.41,-1.0,-5.9,12.1
0.42,-0.9,-5.9,12.2
0.43,-0.7,-5.9,12.5
0.44,-0.5,-6.0,12.7
0.45,-0.3,-6.0,12.9
0.46,0.0,-6.0,13.1
0.47,0.1,-6.0,13.3
0.48,0.3,-6.0,13.4
0.49,0.3,-6.0,13.5
0.50,0.4,-6.0,13.5
0.51,0.4,-6.0,13.6
0.52,0.4,-6.0,13.6
0.53,0.4,-5.9,13.6
0.54,0.4,-5.9,13.6
0.55,0.3,-5.9,13.7
0.56,0.2,-5.9,13.8
0.57,0.2,-5.9,13.8
0.58,0.1,-5.9,13.9
0.59,0.0,-5.9,14
0.60,-0.1,-5.9,14.1
0.61,-0.1,-5.8,14.1
0.62,0.0,-5.8,14.2
0.63,-0.1,-5.8,14.3
0.64,-0.2,-5.8,14.3
0.65,-0.2,-5.8,14.4
0.66,-0.3,-5.8,14.5
0.67,-0.3,-5.8,14.5
0.68,-0.3,-5.8,14.6
0.69,-0.1,-5.9,14.7
0.70,0.0,-5.9,14.8
0.71,0.2,-5.9,15
0.72,0.4,-5.9,15.2
0.73,0.6,-6.0,15.4
0.74,0.8,-6.1,15.7
0.75,1.0,-6.1,15.8
0.76,1.1,-6.1,16
0.77,1.4,-6.2,16.3
0.78,1.7,-6.2,16.6
0.79,2.1,-6.3,16.9
0.80,2.4,-6.4,17.3
0.81,2.7,-6.4,17.6
0.82,3.0,-6.5,17.9
0.83,3.2,-6.5,18.1
0.84,3.4,-6.6,18.3
0.85,3.5,-6.6,18.4
0.86,3.7,-6.7,18.6
0.87,3.9,-6.7,18.9
0.88,4.2,-6.8,19.2
0.89,4.4,-6.8,19.3
0.90,4.5,-6.8,19.4
0.91,4.6,-6.8,19.6
0.92,4.8,-6.8,19.7
0.93,4.9,-6.8,19.9
0.94,5.1,-6.8,20
0.95,5.3,-6.9,20.2
0.96,5.5,-6.9,20.5
0.97,5.6,-6.9,20.6
0.98,5.8,-6.9,20.7
0.99,5.9,-6.9,20.8
1.00,6.0,-7.0,20.9
1.01,6.0,-7.0,21
1.02,6.1,-7.1,21.1
1.03,6.2,-7.1,21.2
1.04,6.3,-7.1,21.3
1.05,6.2,-7.1,21.3
1.06,6.2,-7.1,21.4
1.07,6.0,-7.1,21.6
1.08,5.8,-7.0,21.8
1.09,5.7,-7.0,21.9
1.10,5.6,-7.0,22
1.11,5.6,-6.9,22
1.12,5.5,-6.9,22.1
1.13,5.4,-6.9,22.2
1.14,5.4,-6.9,22.2
1.15,5.2,-6.9,22.4
1.16,5.1,-6.8,22.5
1.17,5.2,-6.8,22.6
1.18,5.3,-6.8,22.7
1.19,5.4,-6.9,22.8
1.20,5.5,-6.9,22.9
1.21,5.5,-6.9,23
1.22,5.6,-6.9,23.1
1.23,5.9,-6.9,23.3
1.24,6.1,-6.9,23.6
1.25,6.4,-7.0,23.9
1.26,6.8,-7.1,24.2
1.27,7.0,-7.2,24.5
1.28,7.4,-7.3,24.9
1.29,7.7,-7.4,25.2
1.30,8.2,-7.6,25.8
1.31,8.2,-7.6,25.8
1.32,8.3,-7.6,25.9
1.33,8.3,-7.7,26
1.34,8.5,-8.0,26.3
