"ID番号","_9898"
"氏名",""
"性別","男"
"身長(cm)","0"
"体重(kg)","0"
"姿勢",""
"病名",""
"メモ",""
"測定者",""
"眼の状態","開眼"
"測定時間(秒)","1.32"
"周期(Hz)","100"
"測定日時","2023/06/26 19:07:41"
"時間(秒)","合成圧中心:左右X軸(cm)","合成圧中心:前後Y軸(cm)","合成圧中心軌跡長(cm)"
0.00,4.0,5.4,
0.01,4.6,5.9,0.7
0.02,4.7,6.0,0.9
0.03,4.5,6.0,1.1
0.04,4.4,6.0,1.2
0.05,4.3,6.0,1.3
0.06,4.2,6.0,1.4
0.07,4.0,6.0,1.6
0.08,3.9,5.9,1.7
0.09,3.7,5.9,1.9
0.10,3.5,5.9,2.1
0.11,3.2,5.9,2.4
0.12,2.9,5.9,2.7
0.13,2.7,6.0,2.9
0.14,2.5,6.0,3.1
0.15,2.3,6.1,3.3
0.16,2.1,6.2,3.5
0.17,1.9,6.3,3.8
0.18,1.7,6.4,4
0.19,1.4,6.4,4.3
0.20,1.1,6.5,4.6
0.21,0.8,6.5,4.9
0.22,0.6,6.5,5.1
0.23,0.3,6.4,5.4
0.24,0.0,6.4,5.7
0.25,-0.2,6.4,5.9
0.26,-0.4,6.4,6.1
0.27,-0.6,6.4,6.3
0.28,-0.8,6.4,6.5
0.29,-0.9,6.3,6.6
0.30,-1.1,6.3,6.8
0.31,-1.3,6.3,7
0.32,-1.4,6.3,7.1
0.33,-1.5,6.2,7.3
0.34,-1.6,6.2,7.4
0.35,-1.7,6.2,7.5
0.36,-1.8,6.1,7.6
0.37,-1.9,6.1,7.6
0.38,-1.9,6.1,7.6
0.39,-1.9,6.1,7.7
0.40,-1.9,6.1,7.7
0.41,-1.9,6.1,7.8
0.42,-1.8,6.1,7.9
0.43,-1.9,6.0,8
0.44,-2.0,6.0,8.1
0.45,-1.8,6.0,8.2
0.46,-1.6,6.1,8.4
0.47,-1.6,6.1,8.4
0.48,-1.6,6.1,8.4
0.49,-1.6,6.1,8.4
0.50,-1.6,6.0,8.5
0.51,-1.6,6.1,8.5
0.52,-1.5,6.1,8.5
0.53,-1.5,6.0,8.6
0.54,-1.4,6.0,8.6
0.55,-1.4,6.0,8.7
0.56,-1.3,6.1,8.7
0.57,-1.2,6.0,8.9
0.58,-1.1,6.0,9
0.59,-1.1,6.0,9
0.60,-1.1,6.0,9
0.61,-1.0,6.0,9.1
0.62,-0.9,6.0,9.2
0.63,-0.8,6.1,9.3
0.64,-0.7,6.1,9.4
0.65,-0.7,6.1,9.4
0.66,-0.6,6.1,9.5
0.67,-0.5,6.1,9.6
0.68,-0.5,6.2,9.7
0.69,-0.4,6.2,9.8
0.70,-0.2,6.3,9.9
0.71,-0.1,6.3,10
0.72,0.0,6.3,10.1
0.73,0.0,6.3,10.2
0.74,0.1,6.4,10.3
0.75,0.3,6.4,10.5
0.76,0.5,6.5,10.7
0.77,0.7,6.5,10.9
0.78,1.0,6.5,11.1
0.79,1.2,6.5,11.3
0.80,1.3,6.5,11.5
0.81,1.5,6.5,11.7
0.82,1.8,6.5,11.9
0.83,2.0,6.5,12.2
0.84,2.2,6.6,12.4
0.85,2.4,6.6,12.5
0.86,2.5,6.6,12.7
0.87,2.6,6.6,12.8
0.88,2.8,6.6,12.9
0.89,3.0,6.6,13.1
0.90,3.2,6.6,13.4
0.91,3.3,6.6,13.4
0.92,3.3,6.6,13.5
0.93,3.5,6.6,13.7
0.94,3.6,6.6,13.8
0.95,3.8,6.6,14
0.96,3.9,6.6,14.1
0.97,4.0,6.7,14.2
0.98,4.1,6.7,14.3
0.99,4.1,6.8,14.4
1.00,4.2,6.8,14.5
1.01,4.3,6.9,14.5
1.02,4.3,6.9,14.6
1.03,4.4,6.9,14.7
1.04,4.5,7.0,14.7
1.05,4.5,7.0,14.8
1.06,4.5,6.9,14.8
1.07,4.5,6.9,14.8
1.08,4.5,6.9,14.9
1.09,4.4,6.9,14.9
1.10,4.4,6.9,14.9
1.11,4.4,6.9,15
1.12,4.4,6.9,15
1.13,4.4,6.9,15
1.14,4.5,6.9,15.1
1.15,4.5,7.0,15.1
1.16,4.5,7.0,15.1
1.17,4.6,7.0,15.2
1.18,4.6,7.0,15.2
1.19,4.6,7.1,15.3
1.20,4.6,7.1,15.3
1.21,4.7,7.2,15.4
1.22,4.7,7.3,15.5
1.23,4.9,7.3,15.7
1.24,5.1,7.4,15.9
1.25,5.3,7.5,16.2
1.26,5.7,7.7,16.6
1.27,6.1,7.7,17
1.28,6.8,7.6,17.7
1.29,6.8,7.6,17.7
1.30,6.8,7.5,17.8
1.31,6.8,7.5,17.8
