"ID番号","_9898"
"氏名",""
"性別","男"
"身長(cm)","0"
"体重(kg)","0"
"姿勢",""
"病名",""
"メモ",""
"測定者",""
"眼の状態","開眼"
"測定時間(秒)","1.38"
"周期(Hz)","100"
"測定日時","2023/06/26 19:07:41"
"時間(秒)","合成圧中心:左右X軸(cm)","合成圧中心:前後Y軸(cm)","合成圧中心軌跡長(cm)"
0.00,NaN,NaN,
0.01,7.0,7.0,
0.02,7.0,7.0,
0.03,6.8,7.1,0.2
0.04,6.8,7.1,0.2
0.05,6.6,7.2,0.5
0.06,6.5,7.2,0.6
0.07,6.4,7.3,0.7
0.08,6.3,7.3,0.8
0.09,6.1,7.3,0.9
0.10,6.0,7.4,1.1
0.11,6.1,7.3,1.2
0.12,6.2,7.3,1.3
0.13,6.2,7.3,1.3
0.14,6.3,7.4,1.3
0.15,6.3,7.4,1.4
0.16,6.3,7.4,1.4
0.17,6.3,7.3,1.4
0.18,6.3,7.3,1.4
0.19,6.3,7.3,1.5
0.20,6.4,7.3,1.5
0.21,6.3,7.3,1.5
0.22,6.3,7.3,1.6
0.23,6.3,7.3,1.6
0.24,6.3,7.4,1.7
0.25,6.0,7.3,2
0.26,5.7,7.3,2.3
0.27,5.5,7.3,2.5
0.28,5.3,7.3,2.7
0.29,5.0,7.3,3
0.30,4.8,7.3,3.2
0.31,4.3,7.1,3.8
0.32,3.8,7.0,4.2
0.33,3.5,6.9,4.6
0.34,3.3,6.7,4.9
0.35,3.1,6.6,5.1
0.36,2.9,6.5,5.2
0.37,2.5,6.5,5.6
0.38,2.2,6.4,6
0.39,1.8,6.3,6.4
0.40,1.5,6.2,6.7
0.41,1.4,6.1,6.8
0.42,1.3,6.0,7
0.43,1.2,6.0,7.1
0.44,1.1,6.0,7.2
0.45,0.9,6.0,7.3
0.46,0.8,6.0,7.4
0.47,0.6,5.9,7.7
0.48,0.4,5.9,7.8
0.49,0.2,5.9,8
0.50,0.0,5.9,8.2
0.51,-0.2,5.9,8.5
0.52,-0.4,5.9,8.7
0.53,-0.6,5.9,8.9
0.54,-0.8,5.9,9
0.55,-0.9,5.9,9.2
0.56,-1.1,5.8,9.4
0.57,-1.3,5.8,9.6
0.58,-1.5,5.8,9.7
0.59,-1.7,5.8,10
0.60,-1.9,5.8,10.2
0.61,-2.1,5.8,10.4
0.62,-2.3,5.8,10.6
0.63,-2.5,5.7,10.8
0.64,-2.6,5.7,10.9
0.65,-2.8,5.7,11.1
0.66,-3.1,5.7,11.3
0.67,-3.2,5.7,11.5
0.68,-3.4,5.7,11.7
0.69,-3.5,5.7,11.8
0.70,-3.5,5.8,11.8
0.71,-3.6,5.8,11.8
0.72,-3.6,5.8,11.9
0.73,-3.6,5.8,11.9
0.74,-3.6,5.8,11.9
0.75,-3.5,5.8,11.9
0.76,-3.5,5.8,11.9
0.77,-3.5,5.8,11.9
0.78,-3.5,5.8,11.9
0.79,-3.5,5.8,11.9
0.80,-3.5,5.8,12
0.81,-3.5,5.8,12
0.82,-3.5,5.8,12
0.83,-3.4,5.9,12.1
0.84,-3.4,5.9,12.1
0.85,-3.3,5.9,12.1
0.86,-3.3,5.9,12.2
0.87,-3.3,5.9,12.2
0.88,-3.4,6.0,12.2
0.89,-3.4,6.0,12.3
0.90,-3.4,6.0,12.3
0.91,-3.5,6.0,12.4
0.92,-3.6,6.0,12.5
0.93,-3.7,6.1,12.6
0.94,-3.7,6.1,12.6
0.95,-3.8,6.1,12.7
0.96,-3.8,6.1,12.7
0.97,-3.6,6.1,12.9
0.98,-3.4,6.1,13.1
0.99,-2.9,6.1,13.6
1.00,-2.4,6.1,14.1
1.01,-2.0,6.1,14.5
1.02,-1.6,6.1,14.9
1.03,-1.2,6.1,15.3
1.04,-0.8,6.1,15.7
1.05,-0.6,6.1,15.9
1.06,-0.5,6.1,16.1
1.07,-0.4,6.1,16.1
1.08,-0.4,6.1,16.1
1.09,-0.4,6.1,16.1
1.10,-0.4,6.2,16.2
1.11,-0.4,6.2,16.3
1.12,-0.4,6.2,16.3
1.13,-0.3,6.3,16.4
1.14,-0.2,6.3,16.6
1.15,-0.1,6.4,16.6
1.16,-0.1,6.4,16.6
1.17,0.0,6.4,16.7
1.18,0.1,6.4,16.8
1.19,0.1,6.3,16.9
1.20,0.2,6.3,16.9
1.21,0.2,6.3,17
1.22,0.3,6.3,17
1.23,0.3,6.3,17.1
1.24,0.3,6.2,17.1
1.25,0.2,6.2,17.2
1.26,0.2,6.2,17.2
1.27,0.2,6.2,17.3
1.28,0.1,6.1,17.4
1.29,0.2,6.1,17.4
1.30,0.3,6.1,17.5
1.31,0.1,6.0,17.8
1.32,-0.2,5.9,18.1
1.33,-0.5,5.8,18.4
1.34,-1.0,5.6,18.9
1.35,-1.3,5.2,19.3
1.36,-1.9,4.5,20.3
1.37,-2.1,4.2,20.6
1.38,-2.5,3.5,21.5
